Markets: *:spot:btc-usd
Quote size: 10
Synced with:  {'krkn'}
{'ask': 36158.898334234895, 'bid': 36227.9254062447, 'spread': 69.02707200980512}
{'ask': 36158.898334234895, 'bid': 36227.9254062447, 'spread': 69.02707200980512}
{'ask': 36156.69533208489, 'bid': 36227.9254062447, 'spread': 71.23007415980828}
{'ask': 36156.69533208489, 'bid': 36227.9254062447, 'spread': 71.23007415980828}
{'ask': 36156.5408021137, 'bid': 36227.9254062447, 'spread': 71.38460413100256}
{'ask': 36157.28636262679, 'bid': 36227.9254062447, 'spread': 70.63904361790628}
{'ask': 36157.28636262679, 'bid': 36227.9254062447, 'spread': 70.63904361790628}
{'ask': 36157.28636262679, 'bid': 36227.9254062447, 'spread': 70.63904361790628}
{'ask': 36157.28636262679, 'bid': 36227.9254062447, 'spread': 70.63904361790628}
{'ask': 36157.28636262679, 'bid': 36227.9254062447, 'spread': 70.63904361790628}
{'ask': 36154.77434203949, 'bid': 36227.9254062447, 'spread': 73.15106420520897}
{'ask': 36150.773938527986, 'bid': 36227.9254062447, 'spread': 77.15146771671425}
{'ask': 36150.773938527986, 'bid': 36227.9254062447, 'spread': 77.15146771671425}
{'ask': 36150.773938527986, 'bid': 36227.9254062447, 'spread': 77.15146771671425}
{'ask': 36150.773938527986, 'bid': 36227.9254062447, 'spread': 77.15146771671425}
{'ask': 36150.44442648899, 'bid': 36227.9254062447, 'spread': 77.48097975571}
{'ask': 36150.44442648899, 'bid': 36227.9254062447, 'spread': 77.48097975571}
{'ask': 36150.44442648899, 'bid': 36227.9254062447, 'spread': 77.48097975571}
{'ask': 36150.44442648899, 'bid': 36227.9254062447, 'spread': 77.48097975571}
{'ask': 36150.44442648899, 'bid': 36227.9254062447, 'spread': 77.48097975571}
{'ask': 36150.44442648899, 'bid': 36227.9254062447, 'spread': 77.48097975571}
{'ask': 36150.44442648899, 'bid': 36227.9254062447, 'spread': 77.48097975571}
{'ask': 36150.19327210949, 'bid': 36227.9254062447, 'spread': 77.73213413520716}
{'ask': 36150.19327210949, 'bid': 36227.9254062447, 'spread': 77.73213413520716}
{'ask': 36150.19327210949, 'bid': 36227.9254062447, 'spread': 77.73213413520716}
{'ask': 36150.19327210949, 'bid': 36227.9254062447, 'spread': 77.73213413520716}
{'ask': 36150.11356169789, 'bid': 36227.9254062447, 'spread': 77.81184454680624}
{'ask': 36150.19327210949, 'bid': 36227.9254062447, 'spread': 77.73213413520716}
{'ask': 36150.19327210949, 'bid': 36227.9254062447, 'spread': 77.73213413520716}
{'ask': 36150.130435064595, 'bid': 36227.9254062447, 'spread': 77.79497118010477}
{'ask': 36150.130435064595, 'bid': 36227.9254062447, 'spread': 77.79497118010477}
{'ask': 36150.130435064595, 'bid': 36227.9254062447, 'spread': 77.79497118010477}
{'ask': 36150.130435064595, 'bid': 36227.9254062447, 'spread': 77.79497118010477}
{'ask': 36150.130435064595, 'bid': 36227.9254062447, 'spread': 77.79497118010477}
{'ask': 36150.130435064595, 'bid': 36227.9254062447, 'spread': 77.79497118010477}
{'ask': 36060.437267388596, 'bid': 36227.9254062447, 'spread': 167.48813885610434}
{'ask': 36060.437267388596, 'bid': 36227.9254062447, 'spread': 167.48813885610434}
{'ask': 36060.437267388596, 'bid': 36227.9254062447, 'spread': 167.48813885610434}
{'ask': 36060.437267388596, 'bid': 36227.9254062447, 'spread': 167.48813885610434}
{'ask': 36060.437267388596, 'bid': 36227.9254062447, 'spread': 167.48813885610434}
{'ask': 36060.437267388596, 'bid': 36227.9254062447, 'spread': 167.48813885610434}
{'ask': 36060.437267388596, 'bid': 36227.9254062447, 'spread': 167.48813885610434}
{'ask': 36060.437267388596, 'bid': 36227.9254062447, 'spread': 167.48813885610434}
{'ask': 36060.437267388596, 'bid': 36227.9254062447, 'spread': 167.48813885610434}
{'ask': 36060.437267388596, 'bid': 36227.9254062447, 'spread': 167.48813885610434}
{'ask': 36060.317915175794, 'bid': 36227.9254062447, 'spread': 167.6074910689058}
{'ask': 36060.317915175794, 'bid': 36227.9254062447, 'spread': 167.6074910689058}
{'ask': 36060.317915175794, 'bid': 36227.9254062447, 'spread': 167.6074910689058}
{'ask': 36060.317915175794, 'bid': 36227.9254062447, 'spread': 167.6074910689058}
{'ask': 36060.317915175794, 'bid': 36227.9254062447, 'spread': 167.6074910689058}
{'ask': 36060.317915175794, 'bid': 36227.9254062447, 'spread': 167.6074910689058}
{'ask': 36060.317915175794, 'bid': 36227.9254062447, 'spread': 167.6074910689058}
{'ask': 36060.317915175794, 'bid': 36227.9254062447, 'spread': 167.6074910689058}
{'ask': 36060.317915175794, 'bid': 36227.9254062447, 'spread': 167.6074910689058}
{'ask': 36060.317915175794, 'bid': 36227.9254062447, 'spread': 167.6074910689058}
{'ask': 36060.5111125024, 'bid': 36227.9254062447, 'spread': 167.4142937423021}
{'ask': 36060.5111125024, 'bid': 36227.9254062447, 'spread': 167.4142937423021}
{'ask': 36060.355915175795, 'bid': 36227.9254062447, 'spread': 167.56949106890534}
{'ask': 36060.355915175795, 'bid': 36227.9254062447, 'spread': 167.56949106890534}
{'ask': 36060.355915175795, 'bid': 36227.9254062447, 'spread': 167.56949106890534}
{'ask': 36060.355915175795, 'bid': 36227.9254062447, 'spread': 167.56949106890534}
{'ask': 36060.355915175795, 'bid': 36227.9254062447, 'spread': 167.56949106890534}
{'ask': 36060.355915175795, 'bid': 36227.9254062447, 'spread': 167.56949106890534}
{'ask': 36060.355915175795, 'bid': 36227.9254062447, 'spread': 167.56949106890534}
{'ask': 36060.355915175795, 'bid': 36227.9254062447, 'spread': 167.56949106890534}
{'ask': 36060.2819951758, 'bid': 36227.9254062447, 'spread': 167.6434110689006}
{'ask': 36060.2819951758, 'bid': 36227.9254062447, 'spread': 167.6434110689006}
{'ask': 36060.25193822, 'bid': 36227.9254062447, 'spread': 167.67346802470274}
{'ask': 36060.25193822, 'bid': 36227.9254062447, 'spread': 167.67346802470274}
{'ask': 36060.25193822, 'bid': 36227.9254062447, 'spread': 167.67346802470274}
{'ask': 36060.25193822, 'bid': 36227.9254062447, 'spread': 167.67346802470274}
{'ask': 36060.25193822, 'bid': 36227.9254062447, 'spread': 167.67346802470274}
{'ask': 36058.90593821999, 'bid': 36227.9254062447, 'spread': 169.01946802470775}
{'ask': 36058.90593821999, 'bid': 36227.9254062447, 'spread': 169.01946802470775}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
